Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	Charlie Adam	sct SCO	MF	Reading	33	1985	8.7	4	0	0	22	12	0	65	13	14			0	Matches
2	Tosin Adarabioyo	eng ENG	DF	Blackburn	21	1997	33.0	0	0	0	11	7	0	1	56	14			0	Matches
3	Albert Adomah	gh GHA	MF,FW	Cardiff City	31	1987	8.1	2	0	0	12	11	1	39	2	8			0	Matches
4	Albert Adomah	gh GHA	MF	Nottingham	31	1987	6.8	2	0	0	10	6	2	29	6	11			0	Matches
5	Benik Afobe	cd COD	FW	Bristol City	26	1993	8.2	0	0	0	10	10	6	2	1	3			0	Matches
6	Benik Afobe	cd COD	FW	Stoke City	26	1993	0.8	0	0	0	0	0	0	4	0	0			0	Matches
7	Semi Ajayi	ng NGA	DF	West Brom	25	1993	42.0	5	0	0	40	18	0	5	39	36			1	Matches
8	Ezgjan Alioski	mk MKD	DF,MF	Leeds United	27	1992	25.1	8	0	0	38	36	8	82	29	38			0	Matches
9	Joe Allen	wls WAL	MF	Stoke City	29	1990	32.6	5	1	0	38	37	0	17	65	49			0	Matches
10	Sone Aluko	ng NGA	FW,MF	Reading	30	1989	0.5	1	0	0	1	0	0	2	0	0			0	Matches
11	Sammy Ameobi	eng ENG	MF,FW	Nottingham	27	1992	34.4	7	0	0	55	48	8	92	16	31			0	Matches
12	Luke Amos	eng ENG	MF	QPR	22	1997	23.5	5	0	0	39	28	0	12	32	33			0	Matches
13	Chuks Aneke	eng ENG	FW	Charlton Athletic	26	1993	6.5	2	0	0	32	9	9	3	1	4			0	Matches
14	Felipe Araruna	br BRA	MF	Reading	23	1996	1.8	0	0	0	1	4	1	1	5	2			0	Matches
15	Adam Armstrong	eng ENG	MF,FW	Blackburn	22	1997	38.6	0	0	0	23	36	29	84	13	7			0	Matches
16	Harry Arter	ie IRL	MF	Fulham	29	1989	19.2	7	1	1	30	34	0	8	13	28			0	Matches
17	Britt Assombalonga	cd COD	FW	Middlesbrough	26	1992	27.9	2	0	0	57	44	29	5	2	2			0	Matches
18	Jean-Kévin Augustin	fr FRA	FW	Leeds United	22	1997	0.6	0	0	0	1	2	1	0	0	0			0	Matches
19	Charlie Austin	eng ENG	FW	West Brom	30	1989	16.8	5	0	0	31	18	15	11	2	8			0	Matches
20	Daniel Ayala	es ESP	DF	Middlesbrough	28	1990	23.1	4	0	0	26	10	3	1	28	22			0	Matches
21	André Ayew	gh GHA	MF,FW	Swansea City	29	1989	43.4	3	0	0	36	99	15	39	24	47			0	Matches
22	Floyd Ayité	tg TOG	FW,MF	Fulham	30	1988	0.2	0	0	0	0	1	0	0	0	1			0	Matches
23	Luke Ayling	eng ENG	DF	Leeds United	27	1991	35.3	9	0	0	24	73	2	97	59	41			0	Matches
24	Juninho Bacuna	cw CUW	MF,DF	Huddersfield	21	1997	25.8	7	1	0	49	46	0	87	25	30			0	Matches
25	Leandro Bacuna	cw CUW	MF,DF	Cardiff City	27	1991	35.0	5	0	0	44	27	3	28	30	31			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
26	Mike-Steven Bähre	de GER	MF	Barnsley	23	1995	18.0	3	0	0	49	16	2	20	13	28			0	Matches
27	Odin Bailey	eng ENG	FW,MF	Birmingham City	19	1999	1.0	1	0	0	2	3	0	2	0	0			0	Matches
28	Geraldo Bajrami	al ALB	DF	Birmingham City	19	1999	2.0	0	0	0	2	1	0	0	2	2			0	Matches
29	Nathan Baker	eng ENG	DF	Bristol City	28	1991	29.8	3	0	0	34	21	0	4	55	21			0	Matches
30	Sam Baldock	eng ENG	FW	Reading	30	1989	12.3	2	0	0	13	8	12	9	2	8			0	Matches
31	Dominic Ball	eng ENG	MF	QPR	23	1995	27.1	4	0	0	64	20	0	4	24	39			0	Matches
32	Norbert Balogh	hu HUN	FW	Hull City	23	1996	0.7	0	0	0	2	2	1	0	1	0			0	Matches
33	Leon Balogun	ng NGA	DF	Wigan Athletic	31	1988	9.0	0	0	0	6	5	0	1	15	8			0	Matches
34	Sol Bamba	ci CIV	DF	Cardiff City	34	1985	1.2	0	0	0	0	1	0	0	1	3			0	Matches
35	Patrick Bamford	eng ENG	FW	Leeds United	25	1993	38.3	4	0	0	63	43	52	10	3	14			0	Matches
36	Barry Bannan	sct SCO	MF	Sheffield Weds	29	1989	42.8	8	0	0	35	9	1	254	46	39			0	Matches
37	Shandon Baptiste	gd GRN	MF	Brentford	21	1998	3.7	1	0	0	7	6	0	1	5	5			1	Matches
38	Yoann Barbet	fr FRA	DF	QPR	26	1993	26.9	5	1	0	19	19	2	6	61	17			0	Matches
39	Tom Barkhuizen	eng ENG	MF,FW	Preston	26	1993	34.4	2	0	0	25	28	18	66	18	24			0	Matches
40	Josh Barrett	ie IRL	MF,FW	Reading	21	1998	2.0	0	0	0	0	1	0	7	1	2			0	Matches
41	Modou Barrow	gm GAM	MF	Reading	26	1992	1.0	0	0	0	0	3	1	2	0	0			0	Matches
42	Gareth Barry	eng ENG	MF	West Brom	38	1981	1.0	0	0	0	2	4	0	0	1	1			0	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	28	1991	36.3	7	0	0	44	17	1	2	43	41			2	Matches
44	Borja Bastón	es ESP	FW	Swansea City	26	1992	14.0	3	0	0	23	16	8	1	4	6			0	Matches
45	Danny Batth	eng ENG	DF	Stoke City	28	1990	41.9	3	0	0	53	27	6	3	73	27			1	Matches
46	Daniel Batty	eng ENG	MF	Hull City	21	1997	18.7	2	0	0	17	17	0	35	27	28			0	Matches
47	Patrick Bauer	de GER	DF	Preston	26	1992	40.2	2	0	0	33	36	0	2	52	43			0	Matches
48	Tom Bayliss	eng ENG	MF	Preston	20	1999	0.2	0	0	0	0	0	0	0	1	0			0	Matches
49	Mads Bech Sørensen	dk DEN	DF	Brentford	20	1999	0.3	0	0	0	0	0	0	0	0	0			0	Matches
50	Jérémie Bela	ao ANG	MF	Birmingham City	26	1993	21.8	0	0	0	16	34	7	122	11	18			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
51	Amari'i Bell	jm JAM	DF	Blackburn	25	1994	20.1	2	0	0	19	30	2	55	20	16			0	Matches
52	Jude Bellingham	eng ENG	MF	Birmingham City	16	2003	29.9	7	0	0	47	56	2	84	30	58			0	Matches
53	Yohan Benalouane	tn TUN	DF	Nottingham	32	1987	0.1	0	0	0	0	0	0	0	0	1			0	Matches
54	Filip Benković	hr CRO	DF	Bristol City	22	1997	7.2	3	0	0	7	5	0	0	22	3			0	Matches
55	Elliott Bennett	eng ENG	DF,MF	Blackburn	30	1988	31.1	8	0	0	42	40	3	93	34	48			0	Matches
56	Joe Bennett	eng ENG	DF	Cardiff City	29	1990	42.9	5	0	0	43	25	2	112	60	39			0	Matches
57	Mason Bennett	eng ENG	MF	Derby County	23	1996	2.0	0	0	0	7	3	0	4	3	4			0	Matches
58	Mason Bennett	eng ENG	FW,MF	Millwall	23	1996	4.8	1	0	0	10	8	2	14	4	4			0	Matches
59	Saïd Benrahma	dz ALG	FW	Brentford	23	1995	39.4	5	0	0	29	56	10	161	8	26			0	Matches
60	Daniel Bentley	eng ENG	GK	Bristol City	26	1993	42.7	1	0	0	0	10	0	0	2	1			0	Matches
61	Gaetano Berardi	ch SUI	DF	Leeds United	30	1988	12.5	1	1	0	6	6	0	0	25	9			0	Matches
62	James Berry	eng ENG	MF	Hull City	18	2000	0.1	0	0	0	0	0	0	0	0	0			0	Matches
63	Luke Berry	eng ENG	MF,FW	Luton Town	27	1992	15.1	5	0	0	22	28	0	82	18	10			0	Matches
64	Faysal Bettache	eng ENG	MF	QPR	19	2000	0.3	0	0	0	0	1	0	2	0	0			0	Matches
65	Marcus Bettinelli	eng ENG	GK	Fulham	27	1992	13.8	3	0	0	1	7	0	0	1	0			0	Matches
66	Bartosz Białkowski	pl POL	GK	Millwall	32	1987	45.5	1	0	0	1	3	0	0	1	0			1	Matches
67	Jake Bidwell	eng ENG	DF,MF	Swansea City	26	1993	36.2	3	1	0	44	35	4	112	28	33			1	Matches
68	Krystian Bielik	pl POL	MF,DF	Derby County	21	1998	16.5	3	1	0	26	23	0	2	34	36			0	Matches
69	Mame Biram Diouf	sn SEN	FW,MF	Stoke City	31	1987	1.0	0	0	0	1	2	0	6	1	2			0	Matches
70	Max Bird	eng ENG	MF	Derby County	18	2000	21.2	1	0	0	10	8	0	44	24	17			0	Matches
71	Tyler Blackett	eng ENG	DF	Reading	25	1994	15.4	3	0	0	14	12	1	29	12	14			0	Matches
72	Billy Bodin	wls WAL	MF	Preston	27	1992	10.4	1	0	0	9	5	4	46	6	8			0	Matches
73	Jayden Bogle	eng ENG	DF	Derby County	19	2000	32.2	7	0	0	36	49	3	110	42	39			1	Matches
74	Omar Bogle	eng ENG	FW	Cardiff City	26	1993	3.6	1	0	0	6	11	1	4	0	3			0	Matches
75	Mateusz Bogusz	pl POL	FW,MF	Leeds United	17	2001	0.2	0	0	0	1	0	0	0	0	0			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
76	Marc Bola	eng ENG	DF,MF	Middlesbrough	21	1997	5.7	1	0	0	4	2	0	19	13	6			0	Matches
77	Luke Bolton	eng ENG	DF,MF	Luton Town	19	1999	12.2	1	0	0	10	1	1	23	14	24			0	Matches
78	Gaëtan Bong	cm CMR	DF	Nottingham	31	1988	0.6	0	0	0	1	1	0	4	2	0			0	Matches
79	Macauley Bonne	zw ZIM	FW	Charlton Athletic	23	1995	26.1	5	0	0	24	18	22	13	6	7			0	Matches
80	Julian Börner	de GER	DF	Sheffield Weds	28	1991	34.1	7	0	0	46	47	3	3	62	32			0	Matches
81	John Bostock	tt TRI	MF	Nottingham	27	1992	1.8	1	0	0	7	3	0	3	1	0			0	Matches
82	Jarrod Bowen	eng ENG	MF,FW	Hull City	22	1996	29.0	5	0	0	26	46	13	97	14	16			0	Matches
83	Josh Bowler	eng ENG	MF	Hull City	20	1999	11.6	3	0	0	19	28	1	38	3	13			0	Matches
84	Caolan Boyd-Munce	nir NIR	MF	Birmingham City	19	2000	0.8	0	0	0	0	1	0	4	0	2			0	Matches
85	Lucas Boyé	ar ARG	FW,MF	Reading	23	1996	6.5	3	0	0	32	6	1	6	8	13			0	Matches
86	Sonny Bradley	eng ENG	DF	Luton Town	27	1991	39.1	2	0	0	27	31	2	1	36	28			0	Matches
87	Tom Bradshaw	wls WAL	FW	Millwall	27	1992	29.6	1	0	0	27	43	2	17	0	12			0	Matches
88	James Bree	eng ENG	DF	Luton Town	21	1997	33.8	2	0	0	23	28	0	132	40	25			0	Matches
89	Ben Brereton	cl CHI	FW	Blackburn	20	1999	6.6	0	1	0	17	18	2	8	0	2			0	Matches
90	Rhian Brewster	eng ENG	FW	Swansea City	19	2000	18.5	6	0	0	31	36	8	10	5	7			0	Matches
91	Izzy Brown	eng ENG	FW,MF	Luton Town	22	1997	16.2	5	0	0	18	19	3	93	14	16			0	Matches
92	Jacob Brown	sct SCO	FW,MF	Barnsley	21	1998	37.1	4	0	0	32	44	16	103	19	33			0	Matches
93	Jaden Brown	eng ENG	DF	Huddersfield	20	1999	11.4	2	0	0	11	21	1	18	2	18			0	Matches
94	James Brown	mt MLT	DF	Millwall	21	1998	0.7	0	0	0	0	0	0	1	0	0			0	Matches
95	Jordan Brown	eng ENG	DF,MF	Derby County	18	2001	0.1	0	0	0	0	0	0	0	0	0			0	Matches
96	Alan Browne	ie IRL	MF,DF	Preston	24	1995	35.6	3	0	0	39	46	1	79	37	43			0	Matches
97	Marcus Browne	eng ENG	FW	Middlesbrough	21	1997	4.7	2	1	0	19	17	3	8	4	6			0	Matches
98	Josh Brownhill	eng ENG	MF	Bristol City	23	1995	27.3	4	0	0	29	24	2	88	36	27			0	Matches
99	Chris Brunt	nir NIR	DF,MF	West Brom	34	1984	0.9	0	0	0	0	0	0	9	0	1			0	Matches
