Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Barnsley	32	46.0	92	1	0	611	506	85	902	511	538	2	4	2
Birmingham City	32	46.0	86	2	1	624	446	81	907	487	489	3	10	1
Blackburn	27	46.0	71	3	1	542	578	93	869	451	393	5	10	3
Brentford	29	46.0	51	1	0	487	505	83	822	413	426	6	3	1
Bristol City	32	46.0	63	3	0	508	537	76	866	612	428	3	4	3
Cardiff City	29	46.0	69	2	0	606	498	70	821	429	425	4	6	2
Charlton Athletic	33	46.0	101	0	0	573	591	90	831	498	364	4	6	2
Derby County	31	46.0	83	6	0	542	513	66	752	483	473	7	10	3
Fulham	28	46.0	87	5	3	538	538	68	975	372	426	5	5	0
Huddersfield	39	46.0	84	2	0	597	582	53	780	456	472	8	2	1
Hull City	33	46.0	75	2	1	618	486	100	858	507	462	2	8	3
Leeds United	28	46.0	73	2	0	535	580	121	1163	508	474	6	3	1
Luton Town	28	46.0	73	0	0	498	585	90	842	470	381	7	7	3
Middlesbrough	30	46.0	76	5	1	602	575	81	934	439	462	6	3	4
Millwall	26	46.0	69	3	1	512	537	66	1068	431	430	6	3	2
Nottingham	30	46.0	79	1	0	525	514	90	938	444	490	3	4	4
Preston	26	46.0	62	2	0	530	531	72	893	447	418	9	5	2
QPR	29	46.0	85	3	1	586	575	85	757	452	406	4	10	0
Reading	31	46.0	74	3	1	561	583	69	763	393	446	6	3	1
Sheffield Weds	29	46.0	86	5	2	697	472	89	1015	457	518	6	9	2
Stoke City	35	46.0	63	2	1	568	564	65	964	521	491	2	5	2
Swansea City	29	46.0	71	4	1	490	577	84	822	476	416	7	7	1
West Brom	25	46.0	84	3	1	572	543	79	994	373	454	7	5	4
Wigan Athletic	30	46.0	91	6	4	622	580	73	897	468	490	3	1	1
