Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Charlie Adam	sct SCO	MF	Reading	33	1985	8.7	0.23	2.76	0.80	29.2	2.76	0.81	0.04	0.14	0.11	0.11	Matches
2	Tosin Adarabioyo	eng ENG	DF	Blackburn	21	1997	33.0	0.09	0.55	0.27	50.0	0.55	0.27	0.17	0.33	0.00	0.00	Matches
3	Albert Adomah	gh GHA	MF,FW	Cardiff City	31	1987	8.1	0.00	1.36	0.62	45.5	1.35	0.61	0.00	0.00	0.00	0.00	Matches
4	Albert Adomah	gh GHA	MF	Nottingham	31	1987	6.8	0.29	1.62	0.44	27.3	1.62	0.44	0.18	0.67	0.00	0.00	Matches
5	Benik Afobe	cd COD	FW	Bristol City	26	1993	8.2	0.37	2.32	1.34	57.9	2.31	1.34	0.11	0.18	0.12	0.12	Matches
6	Benik Afobe	cd COD	FW	Stoke City	26	1993	0.8	0.00	1.25	0.00	0.0	1.29	0.00	0.00		0.00	0.00	Matches
7	Semi Ajayi	ng NGA	DF	West Brom	25	1993	42.0	0.12	0.60	0.17	28.0	0.59	0.17	0.20	0.71	0.00	0.00	Matches
8	Ezgjan Alioski	mk MKD	DF,MF	Leeds United	27	1992	25.1	0.20	2.35	0.64	27.1	2.35	0.64	0.08	0.31	0.00	0.00	Matches
9	Joe Allen	wls WAL	MF	Stoke City	29	1990	32.6	0.12	1.04	0.31	29.4	1.04	0.31	0.12	0.40	0.00	0.00	Matches
10	Sone Aluko	ng NGA	FW,MF	Reading	30	1989	0.5	0.00	6.00	0.00	0.0	6.59	0.00	0.00		0.00	0.00	Matches
11	Sammy Ameobi	eng ENG	MF,FW	Nottingham	27	1992	34.4	0.15	2.15	0.67	31.1	2.15	0.67	0.07	0.22	0.00	0.00	Matches
12	Luke Amos	eng ENG	MF	QPR	22	1997	23.5	0.09	0.72	0.21	29.4	0.72	0.21	0.12	0.40	0.00	0.00	Matches
13	Chuks Aneke	eng ENG	FW	Charlton Athletic	26	1993	6.5	0.15	3.23	0.92	28.6	3.21	0.92	0.05	0.17	0.00	0.00	Matches
14	Felipe Araruna	br BRA	MF	Reading	23	1996	1.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
15	Adam Armstrong	eng ENG	MF,FW	Blackburn	22	1997	38.6	0.41	2.67	1.22	45.6	2.67	1.22	0.14	0.30	0.05	0.05	Matches
16	Harry Arter	ie IRL	MF	Fulham	29	1989	19.2	0.10	1.25	0.16	12.5	1.25	0.16	0.08	0.67	0.00	0.00	Matches
17	Britt Assombalonga	cd COD	FW	Middlesbrough	26	1992	27.9	0.39	2.19	0.82	37.7	2.19	0.82	0.16	0.43	0.04	0.07	Matches
18	Jean-Kévin Augustin	fr FRA	FW	Leeds United	22	1997	0.6	0.00	5.00	0.00	0.0	5.29	0.00	0.00		0.00	0.00	Matches
19	Charlie Austin	eng ENG	FW	West Brom	30	1989	16.8	0.60	3.15	1.43	45.3	3.16	1.43	0.11	0.25	0.24	0.24	Matches
20	Daniel Ayala	es ESP	DF	Middlesbrough	28	1990	23.1	0.09	1.00	0.30	30.4	0.99	0.30	0.09	0.29	0.00	0.00	Matches
21	André Ayew	gh GHA	MF,FW	Swansea City	29	1989	43.4	0.35	2.63	1.04	39.5	2.63	1.04	0.09	0.22	0.12	0.12	Matches
22	Floyd Ayité	tg TOG	FW,MF	Fulham	30	1988	0.2	0.00	5.00	0.00	0.0	5.29	0.00	0.00		0.00	0.00	Matches
23	Luke Ayling	eng ENG	DF	Leeds United	27	1991	35.3	0.11	0.96	0.34	35.3	0.96	0.34	0.12	0.33	0.00	0.00	Matches
24	Juninho Bacuna	cw CUW	MF,DF	Huddersfield	21	1997	25.8	0.23	2.36	0.81	34.4	2.36	0.81	0.10	0.29	0.00	0.00	Matches
25	Leandro Bacuna	cw CUW	MF,DF	Cardiff City	27	1991	35.0	0.03	1.09	0.20	18.4	1.09	0.20	0.03	0.14	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Mike-Steven Bähre	de GER	MF	Barnsley	23	1995	18.0	0.06	0.94	0.39	41.2	0.95	0.39	0.06	0.14	0.00	0.00	Matches
27	Odin Bailey	eng ENG	FW,MF	Birmingham City	19	1999	1.0	1.00	4.00	1.00	25.0	4.00	1.00	0.25	1.00	0.00	0.00	Matches
28	Geraldo Bajrami	al ALB	DF	Birmingham City	19	1999	2.0	0.00	0.50	0.00	0.0	0.50	0.00	0.00		0.00	0.00	Matches
29	Nathan Baker	eng ENG	DF	Bristol City	28	1991	29.8	0.03	0.47	0.10	21.4	0.47	0.10	0.07	0.33	0.00	0.00	Matches
30	Sam Baldock	eng ENG	FW	Reading	30	1989	12.3	0.41	2.44	1.14	46.7	2.44	1.14	0.13	0.29	0.08	0.08	Matches
31	Dominic Ball	eng ENG	MF	QPR	23	1995	27.1	0.04	0.55	0.07	13.3	0.55	0.07	0.07	0.50	0.00	0.00	Matches
32	Norbert Balogh	hu HUN	FW	Hull City	23	1996	0.7	0.00	2.86	0.00	0.0	3.00	0.00	0.00		0.00	0.00	Matches
33	Leon Balogun	ng NGA	DF	Wigan Athletic	31	1988	9.0	0.00	0.56	0.11	20.0	0.56	0.11	0.00	0.00	0.00	0.00	Matches
34	Sol Bamba	ci CIV	DF	Cardiff City	34	1985	1.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
35	Patrick Bamford	eng ENG	FW	Leeds United	25	1993	38.3	0.42	3.68	1.46	39.7	3.68	1.46	0.10	0.25	0.05	0.08	Matches
