Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Barnsley	32	22.6	52.3	46	506	4,140	46.0	48	36	84	46	2	2	92	1	1.04	0.78	1.83	1.00	1.78
Birmingham City	32	26.3	45.8	46	506	4,140	46.0	51	38	89	50	1	3	86	2	1.11	0.83	1.93	1.09	1.91
Blackburn	27	25.9	52.4	46	506	4,140	46.0	62	42	104	58	4	5	71	3	1.35	0.91	2.26	1.26	2.17
Brentford	29	24.5	57.8	46	506	4,140	46.0	78	52	130	73	5	6	51	1	1.70	1.13	2.83	1.59	2.72
Bristol City	32	26.3	47.7	46	506	4,140	46.0	57	41	98	55	2	3	63	3	1.24	0.89	2.13	1.20	2.09
Cardiff City	29	27.9	43.2	46	506	4,140	46.0	66	45	111	63	3	4	69	2	1.43	0.98	2.41	1.37	2.35
Charlton Athletic	33	25.5	45.6	46	506	4,140	46.0	50	36	86	45	5	5	101	0	1.09	0.78	1.87	0.98	1.76
Derby County	31	26.1	52.6	46	506	4,140	46.0	61	41	102	54	7	9	83	6	1.33	0.89	2.22	1.17	2.07
Fulham	28	26.9	60.8	46	506	4,140	46.0	63	43	106	59	4	5	87	5	1.37	0.93	2.30	1.28	2.22
Huddersfield	39	25.4	51.1	46	506	4,140	46.0	51	33	84	44	7	8	84	2	1.11	0.72	1.83	0.96	1.67
Hull City	33	24.9	43.9	46	506	4,140	46.0	56	34	90	55	1	2	75	2	1.22	0.74	1.96	1.20	1.93
Leeds United	28	26.6	63.7	46	506	4,140	46.0	69	46	115	65	4	6	73	2	1.50	1.00	2.50	1.41	2.41
Luton Town	28	26.3	46.5	46	506	4,140	46.0	49	28	77	43	6	7	73	0	1.07	0.61	1.67	0.93	1.54
Middlesbrough	30	25.5	46.1	46	506	4,140	46.0	47	34	81	43	4	6	76	5	1.02	0.74	1.76	0.93	1.67
Millwall	26	26.8	43.4	46	506	4,140	46.0	57	37	94	52	5	6	69	3	1.24	0.80	2.04	1.13	1.93
Nottingham	30	26.6	46.3	46	506	4,140	46.0	57	44	101	53	4	5	79	1	1.24	0.96	2.20	1.15	2.11
Preston	26	26.6	51.6	46	506	4,140	46.0	59	31	90	49	10	11	62	2	1.28	0.67	1.96	1.07	1.74
QPR	29	25.7	54.1	46	506	4,140	46.0	66	44	110	62	4	4	85	3	1.43	0.96	2.39	1.35	2.30
Reading	31	25.7	45.9	46	506	4,140	46.0	58	41	99	51	7	8	74	3	1.26	0.89	2.15	1.11	2.00
Sheffield Weds	29	27.5	47.5	46	506	4,140	46.0	57	39	96	50	7	7	86	5	1.24	0.85	2.09	1.09	1.93
Stoke City	35	27.4	46.7	46	506	4,140	46.0	59	39	98	56	3	3	63	2	1.28	0.85	2.13	1.22	2.07
Swansea City	29	24.5	52.2	46	506	4,140	46.0	61	40	101	54	7	7	71	4	1.33	0.87	2.20	1.17	2.04
West Brom	25	26.1	55.0	46	506	4,140	46.0	74	51	125	67	7	7	84	3	1.61	1.11	2.72	1.46	2.57
Wigan Athletic	30	26.7	47.7	46	506	4,140	46.0	53	36	89	51	2	4	91	6	1.15	0.78	1.93	1.11	1.89
