Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Rolando Aarons	eng ENG	MF	Huddersfield	25	1995	1	0	9	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
2	Kelvin Abrefa	eng ENG	DF	Reading	17	2003	3	0	38	0.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
3	Tosin Adarabioyo	eng ENG	DF	Fulham	23	1997	41	41	3,684	40.9	0.05	0.05	0.10	0.05	0.00	0.00	0.07	0.02	0.05	0.05	0.10	0.05	0.10	Matches
4	Elijah Adebayo	eng ENG	FW	Luton Town	23	1998	40	38	3,370	37.4	0.43	0.11	0.53	0.35	0.08	0.13	0.16	0.00	0.43	0.11	0.53	0.35	0.45	Matches
5	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	23	1998	26	7	965	10.7	0.28	0.09	0.37	0.28	0.00	0.00	0.19	0.00	0.28	0.09	0.37	0.28	0.37	Matches
6	Albert Adomah	gh GHA	MF	QPR	33	1987	33	22	2,205	24.5	0.08	0.12	0.20	0.08	0.00	0.00	0.12	0.00	0.08	0.12	0.20	0.08	0.20	Matches
7	Benik Afobe	cd COD	FW,MF	Millwall	28	1993	38	34	3,043	33.8	0.36	0.09	0.44	0.30	0.06	0.06	0.12	0.00	0.35	0.09	0.44	0.30	0.38	Matches
8	Osazee Aghatise	eng ENG	MF	Derby County	18	2002	3	0	6	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
9	Semi Ajayi	ng NGA	DF	West Brom	27	1993	31	27	2,476	27.5	0.04	0.07	0.11	0.04	0.00	0.00	0.11	0.00	0.04	0.07	0.11	0.04	0.11	Matches
10	Chuba Akpom	eng ENG	FW,MF	Middlesbrough	25	1995	1	0	20	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
11	Jamie Allen	eng ENG	MF	Coventry City	26	1995	38	29	2,623	29.1	0.03	0.07	0.10	0.03	0.00	0.00	0.03	0.00	0.03	0.07	0.10	0.03	0.10	Matches
