Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	Max Aarons	eng ENG	DF	Norwich City	22	2000	42.8	0.23	0.00	0.00	0.54	1.36	0.09	2.41	1.03	0.98			0.00	Matches
2	Thelo Aasgaard	no NOR	MF	Wigan Athletic	20	2002	17.6	0.06	0.00	0.00	0.85	1.65	0.00	1.02	1.19	0.68			0.00	Matches
3	Nelson Abbey	eng ENG	DF	Reading	18	2003	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00			0.00	Matches
4	Kelvin Abrefa	eng ENG	DF	Reading	18	2003	1.4	0.71	0.00	0.00	2.14	0.71	0.00	2.86	0.00	2.14			0.00	Matches
5	Finlay Adair	eng ENG	FW	Preston	17	2005	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
6	Elijah Adebayo	eng ENG	FW	Luton Town	24	1998	35.7	0.22	0.00	0.00	1.76	1.32	0.76	0.76	0.31	0.39			0.00	Matches
7	Toby Adeyemo	eng ENG	FW	Watford	17	2005	1.1	0.91	0.00	0.00	5.45	4.55	0.91	0.91	0.00	0.00			0.00	Matches
8	Albert Adomah	gh GHA	MF,FW	QPR	34	1987	14.1	0.14	0.00	0.00	0.92	0.92	0.50	6.52	0.85	0.85			0.00	Matches
9	Michael Adu-Poku	eng ENG	FW	Watford	16	2005	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.0	0.00			0.00	Matches
10	Benik Afobe	cd COD	FW	Millwall	29	1993	10.3	0.10	0.00	0.00	0.78	0.87	0.58	0.58	0.10	0.39			0.00	Matches
11	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	23	1999	31.8	0.38	0.00	0.00	1.26	0.66	0.09	0.94	1.86	1.23			0.00	Matches
12	Semi Ajayi	ng NGA	DF	West Brom	28	1993	16.2	0.12	0.00	0.00	0.68	0.56	0.00	0.25	1.54	0.99			0.00	Matches
13	Chuba Akpom	eng ENG	MF,FW	Middlesbrough	26	1995	34.5	0.14	0.00	0.00	0.96	2.43	0.41	0.46	0.20	0.43			0.00	Matches
14	Marc Albrighton	eng ENG	MF	West Brom	32	1989	7.5	0.40	0.00	0.00	0.53	0.93	0.00	5.87	0.67	1.33			0.00	Matches
15	Ajibola Alese	eng ENG	DF	Sunderland	21	2001	15.6	0.06	0.00	0.00	0.58	0.32	0.32	1.09	1.79	1.28			0.00	Matches
16	Jamie Allen	eng ENG	MF,FW	Coventry City	27	1995	31.3	0.06	0.00	0.00	0.35	0.64	0.13	0.35	0.32	0.80			0.00	Matches
17	Joe Allen	wls WAL	MF	Swansea City	32	1990	13.7	0.15	0.07	0.00	1.39	1.09	0.00	2.19	1.53	1.39			0.00	Matches
