Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Brenden Aaronson	us USA	MF	Leeds United	23	2000	46	3,551	77	85.8	39.5	1.09	81	0.46	0.08	19	0.00	2.17	1.97	0.66	1.32	+1.32	-0.67	Matches
2	Thelo Aasgaard	no NOR	MF,FW	Luton Town	22	2002	17	1,513	89	36.5	16.8	1.01	89	0.83	0.00		0.00	1.35	0.95	1.25	-0.30	-0.30	+0.35	Matches
3	James Abankwah	ie IRL	DF	Watford	20	2004	19	1,384	73	33.4	15.4	1.10	79	0.45	0.13	19	0.00	0.95	0.97	1.23	-0.26	-0.26	-0.13	Matches
4	Nelson Abbey	eng ENG	DF	Swansea City	20	2003	0					0		0	0		18							Matches
5	Salis Abdul Samed	gh GHA	MF	Sunderland	24	2000	10	283	28	6.8	3.1	0.97	61	0.00	2.26	14	1.29	1.10	0.97	2.26	-1.29	-1.27	-1.69	Matches
6	Azeem Abdulai	sct SCO	MF	Swansea City	21	2002	17	348	20	8.4	3.9	0.51	65	0.00	3.85	15	2.31	1.47	1.03	1.03	0.00	0.00	+0.12	Matches
7	Ken Aboh	eng ENG	FW,MF	Norwich City	19	2004	0					0		0	0		3							Matches
8	Ebou Adams	gm GAM	MF	Derby County	28	1996	44	3,789	86	91.5	42.1	1.00	89	0.90	0.05	24	0.00	1.14	1.07	1.19	-0.12	-0.12	+0.65	Matches
9	Elijah Adebayo	eng ENG	FW	Luton Town	26	1998	39	2,425	62	58.6	26.9	1.15	73	0.37	0.30	20	0.04	0.97	1.00	1.60	-0.59	-0.59	-0.17	Matches
10	Michael Adu-Poku	eng ENG	FW	Watford	18	2005	1	1	1	0.0	0.0	0		0	1	1	2	0.00	0	0	0	0.00	+0.17	Matches
11	Charles Agbawodikeizu		FW	Derby County			0					0		0	0		4							Matches
12	Enock Agyei	be BEL	FW	Burnley	19	2005	3	58	19	1.4	0.6	0.00		0.00	5.00	19	13.3	1.67	3.33	0.00	3.33	+3.10	+1.98	Matches
13	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	25	1999	38	3,136	83	75.7	34.8	1.01	89	0.95	0.09	11	0.00	1.90	1.32	0.86	0.46	+0.46	-0.53	Matches
14	Semi Ajayi	ng NGA	DF	West Brom	30	1993	15	1,228	82	29.7	13.6	1.03	85	0.81	0.07	38	0.15	1.80	1.18	0.66	0.51	+0.51	+0.42	Matches
15	Travis Akomeah	eng ENG	DF	Watford	18	2006	0					0		0	0		2							Matches
16	Milan Aleksić	rs SRB	MF	Sunderland	18	2005	8	290	36	7.0	3.2	0.94	66	0.00	1.56	18	10.6	1.13	0.31	0.63	-0.31	-0.31	-0.66	Matches
17	Ajibola Alese	eng ENG	DF	Sunderland	23	2001	12	703	59	17.0	7.8	1.03	79	0.64	0.51	17	0.26	2.00	1.54	0.77	0.77	+0.77	+0.56	Matches
18	Cruz Allen	wls WAL	MF	Derby County	17	2007	0					0		0	0		2							Matches
