Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Blackburn	33	46.0	52	468	153	32.7	10.17	3.33	0.10	0.32	3	3
Bristol City	24	46.0	59	593	183	30.9	12.89	3.98	0.09	0.31	3	3
Burnley	38	46.0	66	558	170	30.5	12.13	3.70	0.11	0.36	4	4
Cardiff City	33	46.0	46	561	185	33.0	12.20	4.02	0.08	0.24	1	2
Coventry City	26	46.0	63	603	191	31.7	13.11	4.15	0.10	0.32	2	4
Derby County	33	46.0	43	462	140	30.3	10.04	3.04	0.09	0.29	2	2
Hull City	37	46.0	40	522	156	29.9	11.35	3.39	0.07	0.23	4	5
Leeds United	28	46.0	91	755	249	33.0	16.41	5.41	0.12	0.35	3	4
Luton Town	37	46.0	43	525	152	29.0	11.41	3.30	0.08	0.27	2	2
Middlesbrough	33	46.0	62	660	206	31.2	14.35	4.48	0.09	0.28	5	7
Millwall	34	46.0	47	519	157	30.3	11.28	3.41	0.09	0.29	2	4
Norwich City	35	46.0	68	543	188	34.6	11.80	4.09	0.12	0.36	1	2
Oxford United	34	46.0	49	448	149	33.3	9.74	3.24	0.11	0.33	0	0
Plymouth Argyle	34	46.0	46	417	138	33.1	9.07	3.00	0.10	0.31	3	3
Portsmouth	37	46.0	57	508	155	30.5	11.04	3.37	0.10	0.34	5	7
Preston	28	46.0	47	494	148	30.0	10.74	3.22	0.09	0.30	2	2
QPR	30	46.0	49	526	171	32.5	11.43	3.72	0.09	0.27	2	3
Sheffield United	33	46.0	59	592	184	31.1	12.87	4.00	0.09	0.30	3	5
Sheffield Weds	28	46.0	56	587	174	29.6	12.76	3.78	0.09	0.31	2	4
Stoke City	32	46.0	44	469	150	32.0	10.20	3.26	0.08	0.26	5	6
Sunderland	30	46.0	55	583	180	30.9	12.67	3.91	0.09	0.30	1	5
Swansea City	26	46.0	48	494	158	32.0	10.74	3.43	0.09	0.29	2	3
Watford	32	46.0	52	521	159	30.5	11.33	3.46	0.09	0.28	7	7
West Brom	30	46.0	56	591	166	28.1	12.85	3.61	0.09	0.33	1	1
