Squad	# Pl	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%
Birmingham City	2	46	46	4,140	46.0	56	1.22	163	107	65.6	17	13	16	10	21.7	3	2	1	0	33.3
Blackburn	2	46	46	4,140	46.0	56	1.22	175	118	68.0	13	13	20	12	26.1	3	3	0	0	0.0
Bristol City	2	46	46	4,140	46.0	59	1.28	201	141	70.6	17	11	18	14	30.4	2	2	0	0	0.0
Charlton Athletic	2	46	46	4,140	46.0	58	1.26	194	136	70.1	13	14	19	13	28.3	6	4	1	1	20.0
Coventry City	1	46	46	4,140	46.0	45	0.98	167	121	73.1	28	11	7	17	37.0	3	3	0	0	0.0
Derby County	3	46	46	4,140	46.0	59	1.28	202	140	70.8	20	9	17	12	26.1	5	4	1	0	20.0
Hull City	2	46	46	4,140	46.0	66	1.43	211	145	68.7	21	10	15	11	23.9	6	4	2	0	33.3
Ipswich Town	2	46	46	4,140	46.0	47	1.02	160	113	70.6	23	15	8	17	37.0	5	4	1	0	20.0
Leicester City	2	46	46	4,140	46.0	68	1.48	188	119	63.8	12	16	18	6	13.0	3	1	2	0	66.7
Middlesbrough	1	46	46	4,140	46.0	47	1.02	150	101	68.7	22	14	10	13	28.3	8	7	1	0	12.5
Millwall	3	46	46	4,140	46.0	49	1.07	175	126	72.0	24	11	11	18	39.1	1	1	0	0	0.0
Norwich City	2	46	46	4,140	46.0	56	1.22	173	117	67.6	19	8	19	9	19.6	5	3	2	0	40.0
Oxford United	1	46	46	4,140	46.0	59	1.28	193	133	69.4	11	14	21	8	17.4	2	2	0	0	0.0
Portsmouth	3	46	46	4,140	46.0	64	1.39	180	116	64.4	14	13	19	10	21.7	3	2	1	0	33.3
Preston	3	46	46	4,140	46.0	62	1.35	198	135	68.7	15	15	16	9	19.6	4	3	1	0	25.0
QPR	3	46	46	4,140	46.0	73	1.59	189	116	61.4	16	10	20	10	21.7	4	3	0	1	0.0
Sheffield United	2	46	46	4,140	46.0	66	1.43	194	128	66.0	18	6	22	10	21.7	5	4	0	1	0.0
Sheffield Weds	5	46	46	4,139	46.0	89	1.94	269	180	66.9	2	12	32	4	8.7	3	2	0	1	0.0
Southampton	3	46	46	4,140	46.0	56	1.22	173	117	67.6	22	14	10	11	23.9	2	2	0	0	0.0
Stoke City	3	46	46	4,140	46.0	56	1.22	176	120	68.2	15	10	21	13	28.3	1	1	0	0	0.0
Swansea City	2	46	46	4,140	46.0	59	1.28	206	147	71.4	18	10	18	12	26.1	4	4	0	0	0.0
Watford	2	46	46	4,140	46.0	65	1.41	187	122	65.2	14	15	17	7	15.2	2	1	1	0	50.0
West Brom	3	46	46	4,140	46.0	58	1.26	149	90	61.1	13	14	19	14	30.4	2	1	1	0	50.0
Wrexham	2	46	46	4,140	46.0	65	1.41	201	136	67.7	19	14	13	12	26.1	2	1	1	0	50.0
