Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Rk_shoot,Player_shoot,Nation_shoot,Pos_shoot,Age_shoot,Born_shoot,90s_shoot,Gls_shoot,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shoot,PKatt_shoot,Matches_shoot,Pos_Primary_shoot,Is_Multi_Pos_shoot,Table_Type_shoot,Rk_playtime,Player_playtime,Nation_playtime,Pos_playtime,Age_playtime,Born_playtime,MP_playtime,Min_playtime,Mn/MP,Min%,90s_playtime,Starts_playtime,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches_playtime,Pos_Primary_playtime,Is_Multi_Pos_playtime,Table_Type_playtime,Rk_misc,Player_misc,Nation_misc,Pos_misc,Age_misc,Born_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,Pos_Primary_misc,Is_Multi_Pos_misc,Table_Type_misc,Rk_gk,Player_gk,Nation_gk,Pos_gk,Age_gk,Born_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Matches_gk,Pos_Primary_gk,Is_Multi_Pos_gk,Table_Type_gk
60,Daniel Bentley,eng ENG,GK,Bristol City,26,1993,43,42,"3,843",42.7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,daniel bentley,2019-2020,standard,60,Daniel Bentley,eng ENG,GK,26,1993,42.7,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,67,Daniel Bentley,eng ENG,GK,26,1993,43,"3,843",89,92.8,42.7,0.98,90,0.98,0.02,63,0.02,1.42,1.33,1.43,-0.09,-0.09,+0.21,Matches,GK,False,playing_time,60,Daniel Bentley,eng ENG,GK,26,1993,42.7,1,0,0,0,10,0,0,2,1,,,0,Matches,GK,False,misc,1,Daniel Bentley,eng ENG,GK,26,1993,43,42,"3,843",42.7,61,1.43,191,134,70.2,17,10,15,10,23.8,4,4,0,0,0.0,Matches,GK,False,goalkeeping
65,Marcus Bettinelli,eng ENG,GK,Fulham,27,1992,14,13,"1,242",13.8,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,marcus bettinelli,2019-2020,standard,65,Marcus Bettinelli,eng ENG,GK,27,1992,13.8,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,72,Marcus Bettinelli,eng ENG,GK,27,1992,14,"1,242",89,30.0,13.8,0.94,90,0.94,0.07,72,2.25,1.43,1.45,1.09,0.36,+0.36,+0.02,Matches,GK,False,playing_time,65,Marcus Bettinelli,eng ENG,GK,27,1992,13.8,3,0,0,1,7,0,0,1,0,,,0,Matches,GK,False,misc,2,Marcus Bettinelli,eng ENG,GK,27,1992,14,13,"1,242",13.8,15,1.09,35,21,60.0,5,4,4,4,30.8,1,1,0,0,0.0,Matches,GK,False,goalkeeping
66,Bartosz Białkowski,pl POL,GK,Millwall,32,1987,46,45,"4,098",45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,bartosz biakowski,2019-2020,standard,66,Bartosz Białkowski,pl POL,GK,32,1987,45.5,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,73,Bartosz Białkowski,pl POL,GK,32,1987,46,"4,098",89,99.0,45.5,0.99,90,0.99,0.02,48,0.00,1.48,1.23,1.12,0.11,+0.11,-2.03,Matches,GK,False,playing_time,66,Bartosz Białkowski,pl POL,GK,32,1987,45.5,1,0,0,1,3,0,0,1,0,,,1,Matches,GK,False,misc,3,Bartosz Białkowski,pl POL,GK,32,1987,46,45,"4,098",45.5,51,1.12,190,141,74.2,16,17,12,16,35.6,3,2,1,0,33.3,Matches,GK,False,goalkeeping
107,Jack Butland,eng ENG,GK,Stoke City,26,1993,35,35,"3,150",35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,jack butland,2019-2020,standard,107,Jack Butland,eng ENG,GK,26,1993,35.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,121,Jack Butland,eng ENG,GK,26,1993,35,"3,150",90,76.1,35.0,1.00,90,1.00,0.00,,0.23,1.14,1.40,1.60,-0.20,-0.20,-0.29,Matches,GK,False,playing_time,107,Jack Butland,eng ENG,GK,26,1993,35.0,0,0,0,0,3,0,0,0,0,,,1,Matches,GK,False,misc,4,Jack Butland,eng ENG,GK,26,1993,35,35,"3,150",35.0,56,1.60,125,73,58.4,11,7,17,9,25.7,4,4,0,0,0.0,Matches,GK,False,goalkeeping
112,Rafael Cabral,br BRA,GK,Reading,29,1990,44,44,"3,960",44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,rafael cabral,2019-2020,standard,112,Rafael Cabral,br BRA,GK,29,1990,44.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,126,Rafael Cabral,br BRA,GK,29,1990,44,"3,960",90,95.7,44.0,1.00,90,1.00,0.00,,0.00,1.27,1.30,1.20,0.09,+0.09,+1.59,Matches,GK,False,playing_time,112,Rafael Cabral,br BRA,GK,29,1990,44.0,1,0,0,0,3,0,0,0,0,,,0,Matches,GK,False,misc,5,Rafael Cabral,br BRA,GK,29,1990,44,44,"3,960",44.0,53,1.20,198,148,74.7,15,11,18,13,29.5,3,3,0,0,0.0,Matches,GK,False,goalkeeping
115,Lee Camp,nir NIR,GK,Birmingham City,34,1984,36,36,"3,240",36.0,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,GK,False,lee camp,2019-2020,standard,115,Lee Camp,nir NIR,GK,34,1984,36.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,129,Lee Camp,nir NIR,GK,34,1984,36,"3,240",90,78.3,36.0,1.00,90,1.00,0.00,,0.28,1.19,1.08,1.47,-0.39,-0.39,+0.31,Matches,GK,False,playing_time,115,Lee Camp,nir NIR,GK,34,1984,36.0,0,0,0,0,5,0,0,0,0,,,0,Matches,GK,False,misc,6,Lee Camp,nir NIR,GK,34,1984,36,36,"3,240",36.0,53,1.47,120,76,60.8,11,10,15,7,19.4,9,6,3,0,33.3,Matches,GK,False,goalkeeping
126,Kiko Casilla,es ESP,GK,Leeds United,32,1986,36,36,"3,240",36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,kiko casilla,2019-2020,standard,126,Kiko Casilla,es ESP,GK,32,1986,36.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,141,Kiko Casilla,es ESP,GK,32,1986,36,"3,240",90,78.3,36.0,1.00,90,1.00,0.00,,0.03,1.89,1.47,0.86,0.61,+0.61,-1.39,Matches,GK,False,playing_time,126,Kiko Casilla,es ESP,GK,32,1986,36.0,2,0,0,0,5,0,0,2,0,,,0,Matches,GK,False,misc,7,Kiko Casilla,es ESP,GK,32,1986,36,36,"3,240",36.0,31,0.86,99,71,71.7,20,8,8,15,41.7,3,3,0,0,0.0,Matches,GK,False,goalkeeping
145,Joel Coleman,eng ENG,GK,Huddersfield,23,1995,3,2,188,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,joel coleman,2019-2020,standard,145,Joel Coleman,eng ENG,GK,23,1995,2.1,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,161,Joel Coleman,eng ENG,GK,23,1995,3,188,63,4.5,2.1,0.95,90,0.95,0.48,8,13.3,1.00,1.90,3.33,-1.43,-1.44,-1.09,Matches,GK,False,playing_time,145,Joel Coleman,eng ENG,GK,23,1995,2.1,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,8,Joel Coleman,eng ENG,GK,23,1995,3,2,188,2.1,7,3.35,13,6,46.2,0,0,2,0,0.0,0,0,0,0,,Matches,GK,False,goalkeeping
147,Bradley Collins,eng ENG,GK,Barnsley,22,1997,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,bradley collins,2019-2020,standard,147,Bradley Collins,eng ENG,GK,22,1997,19.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,163,Bradley Collins,eng ENG,GK,22,1997,19,"1,710",90,41.3,19.0,1.00,90,1.00,0.00,,1.32,0.79,0.95,1.63,-0.68,-0.68,-0.42,Matches,GK,False,playing_time,147,Bradley Collins,eng ENG,GK,22,1997,19.0,1,0,0,0,4,0,0,0,1,,,0,Matches,GK,False,misc,9,Bradley Collins,eng ENG,GK,22,1997,19,19,"1,710",19.0,31,1.63,84,56,66.7,3,6,10,4,21.1,3,3,0,0,0.0,Matches,GK,False,goalkeeping
171,Adam Davies,wls WAL,GK,Stoke City,27,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,adam davies,2019-2020,standard,171,Adam Davies,wls WAL,GK,27,1992,4.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,192,Adam Davies,wls WAL,GK,27,1992,4,360,90,8.7,4.0,1.00,90,1.00,0.00,,5.50,2.50,2.00,0.50,1.50,+1.50,+1.79,Matches,GK,False,playing_time,171,Adam Davies,wls WAL,GK,27,1992,4.0,0,0,0,0,0,0,0,0,1,,,0,Matches,GK,False,misc,10,Adam Davies,wls WAL,GK,27,1992,4,4,360,4.0,2,0.50,9,7,77.8,3,1,0,2,50.0,0,0,0,0,,Matches,GK,False,goalkeeping
