Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Squad_Original
60,Daniel Bentley,eng ENG,GK,Bristol City,26.0,1993.0,43,42,"3,843",42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,daniel bentley,2019-2020,standard,0.0,0.0,,0.0,0.0,,,89,92.8,90.0,0.98,0.02,63.0,0.02,1.42,1.33,1.43,-0.09,-0.09,0.21,0.0,0.0,10.0,0.0,0.0,2.0,1.0,,,0.0,43.0,42.0,"3,843",42.7,61.0,1.43,191.0,134.0,70.2,17.0,10.0,15.0,10.0,23.8,4.0,4.0,0.0,0.0,0.0,Bristol City
65,Marcus Bettinelli,eng ENG,GK,Fulham,27.0,1992.0,14,13,"1,242",13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,marcus bettinelli,2019-2020,standard,0.0,0.0,,0.0,0.0,,,89,30.0,90.0,0.94,0.07,72.0,2.25,1.43,1.45,1.09,0.36,0.36,0.02,0.0,1.0,7.0,0.0,0.0,1.0,0.0,,,0.0,14.0,13.0,"1,242",13.8,15.0,1.09,35.0,21.0,60.0,5.0,4.0,4.0,4.0,30.8,1.0,1.0,0.0,0.0,0.0,Fulham
66,Bartosz Białkowski,pl POL,GK,Millwall,32.0,1987.0,46,45,"4,098",45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,bartosz biakowski,2019-2020,standard,0.0,0.0,,0.0,0.0,,,89,99.0,90.0,0.99,0.02,48.0,0.0,1.48,1.23,1.12,0.11,0.11,-2.03,0.0,1.0,3.0,0.0,0.0,1.0,0.0,,,1.0,46.0,45.0,"4,098",45.5,51.0,1.12,190.0,141.0,74.2,16.0,17.0,12.0,16.0,35.6,3.0,2.0,1.0,0.0,33.3,Millwall
107,Jack Butland,eng ENG,GK,Stoke,26.0,1993.0,35,35,"3,150",35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,jack butland,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,76.1,90.0,1.0,0.0,,0.23,1.14,1.4,1.6,-0.2,-0.2,-0.29,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,1.0,35.0,35.0,"3,150",35.0,56.0,1.6,125.0,73.0,58.4,11.0,7.0,17.0,9.0,25.7,4.0,4.0,0.0,0.0,0.0,Stoke City
112,Rafael Cabral,br BRA,GK,Reading,29.0,1990.0,44,44,"3,960",44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,rafael cabral,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,95.7,90.0,1.0,0.0,,0.0,1.27,1.3,1.2,0.09,0.09,1.59,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,44.0,44.0,"3,960",44.0,53.0,1.2,198.0,148.0,74.7,15.0,11.0,18.0,13.0,29.5,3.0,3.0,0.0,0.0,0.0,Reading
115,Lee Camp,nir NIR,GK,Birmingham,34.0,1984.0,36,36,"3,240",36.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,GK,False,lee camp,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,78.3,90.0,1.0,0.0,,0.28,1.19,1.08,1.47,-0.39,-0.39,0.31,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,36.0,36.0,"3,240",36.0,53.0,1.47,120.0,76.0,60.8,11.0,10.0,15.0,7.0,19.4,9.0,6.0,3.0,0.0,33.3,Birmingham City
126,Kiko Casilla,es ESP,GK,Leeds,32.0,1986.0,36,36,"3,240",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,kiko casilla,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,78.3,90.0,1.0,0.0,,0.03,1.89,1.47,0.86,0.61,0.61,-1.39,0.0,0.0,5.0,0.0,0.0,2.0,0.0,,,0.0,36.0,36.0,"3,240",36.0,31.0,0.86,99.0,71.0,71.7,20.0,8.0,8.0,15.0,41.7,3.0,3.0,0.0,0.0,0.0,Leeds United
145,Joel Coleman,eng ENG,GK,Huddersfield,23.0,1995.0,3,2,188,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joel coleman,2019-2020,standard,0.0,0.0,,0.0,0.0,,,63,4.5,90.0,0.95,0.48,8.0,13.3,1.0,1.9,3.33,-1.43,-1.44,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,2.0,188,2.1,7.0,3.35,13.0,6.0,46.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Huddersfield
147,Bradley Collins,eng ENG,GK,Barnsley,22.0,1997.0,19,19,"1,710",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,bradley collins,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,41.3,90.0,1.0,0.0,,1.32,0.79,0.95,1.63,-0.68,-0.68,-0.42,0.0,0.0,4.0,0.0,0.0,0.0,1.0,,,0.0,19.0,19.0,"1,710",19.0,31.0,1.63,84.0,56.0,66.7,3.0,6.0,10.0,4.0,21.1,3.0,3.0,0.0,0.0,0.0,Barnsley
171,Adam Davies,wls WAL,GK,Stoke,27.0,1992.0,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,adam davies,2019-2020,standard,0.0,0.0,,0.0,0.0,,,90,8.7,90.0,1.0,0.0,,5.5,2.5,2.0,0.5,1.5,1.5,1.79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,4.0,4.0,360,4.0,2.0,0.5,9.0,7.0,77.8,3.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,,Stoke City
178,Cameron Dawson,eng ENG,GK,Sheffield Wed,24.0,1995.0,24,23,"2,079",23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,cameron dawson,2019-2020,standard,0.0,0.0,,0.0,0.0,,,87,50.2,90.0,1.0,0.04,9.0,0.95,1.38,1.26,1.47,-0.22,-0.22,-0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,24.0,23.0,"2,079",23.1,34.0,1.47,83.0,51.0,61.4,8.0,6.0,9.0,7.0,30.4,3.0,2.0,0.0,1.0,0.0,Sheffield Weds
180,Joe Day,eng ENG,GK,Cardiff,28.0,1990.0,1,0,35,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joe day,2019-2020,standard,0.0,0.0,,0.0,0.0,,,35,0.8,,0.0,2.5,35.0,17.5,0.0,2.5,7.5,-5.0,-5.14,-5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,35,0.4,3.0,7.71,4.0,1.0,25.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Cardiff City
218,Neil Etheridge,ph PHI,GK,Cardiff,29.0,1990.0,16,16,"1,405",15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,neil etheridge,2019-2020,standard,0.0,0.0,,0.0,0.0,,,88,33.9,88.0,0.96,0.0,,1.54,1.31,1.47,1.54,-0.06,-0.06,-0.43,0.0,1.0,3.0,0.0,0.0,0.0,1.0,,,0.0,16.0,16.0,"1,405",15.6,24.0,1.54,61.0,38.0,62.3,5.0,6.0,5.0,3.0,18.8,2.0,1.0,0.0,1.0,0.0,Cardiff City
223,Adam Federici,au AUS,GK,Stoke,34.0,1985.0,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,adam federici,2019-2020,standard,0.14,0.0,0.0,0.14,0.0,0.0,,90,15.2,90.0,1.0,0.0,,2.0,0.86,0.71,1.43,-0.71,-0.71,-0.69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,7.0,7.0,630,7.0,10.0,1.43,31.0,22.0,71.0,2.0,0.0,5.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,Stoke City
228,Frank Fielding,eng ENG,GK,Millwall,31.0,1988.0,1,1,42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,frank fielding,2019-2020,standard,0.0,0.0,,0.0,0.0,,,42,1.0,42.0,0.0,0.0,,2.0,3.0,2.0,0.0,2.0,2.14,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,42,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Millwall
