EFL_Name,Normalized_Name
Nottingham,Nott'm Forest
Nott'm Forest,Nott'm Forest
Leeds United,Leeds
West Brom,West Brom
Norwich City,Norwich
Cardiff City,Cardiff
Birmingham City,Birmingham
Bristol City,Bristol City
Hull City,Hull
Preston,Preston
QPR,QPR
Reading,Reading
Sheffield Weds,Sheffield Wed
Sheffield Wed,Sheffield Wed
Sheffield United,Sheffield Utd
Sheffield Utd,Sheffield Utd
Stoke City,Stoke
Swansea City,Swansea
Middlesbrough,Middlesbrough
Millwall,Millwall
Derby County,Derby
Blackburn,Blackburn
Wigan Athletic,Wigan
Brentford,Brentford
Fulham,Fulham
Bournemouth,Bournemouth
Watford,Watford
Luton Town,Luton
Coventry City,Coventry
Burnley,Burnley
Ipswich Town,Ipswich
Southampton,Southampton
Leicester City,Leicester
Huddersfield,Huddersfield
Barnsley,Barnsley
Charlton Ath,Charlton
Rotherham,Rotherham
Wycombe,Wycombe
Plymouth Argyle,Plymouth
Oxford United,Oxford Utd
Sunderland,Sunderland
Portsmouth,Portsmouth
Blackpool,Blackpool
