season,team,matches_played,goals_scored,goals_conceded,goal_difference,clean_sheets,points,wins_est,draws_est,losses_est,goals_per_game,conceded_per_game,points_per_game
2023-24,Arsenal,37,85,18,67,19,63,19,6,12,2.2972972972972974,0.4864864864864865,1.7027027027027026
2023-24,Aston Villa,38,72,28,44,10,39,10,9,19,1.894736842105263,0.7368421052631579,1.0263157894736843
2023-24,Bournemouth,36,52,25,27,11,41,11,8,17,1.4444444444444444,0.6944444444444444,1.1388888888888888
2023-24,Brentford,37,54,27,27,10,39,10,9,18,1.4594594594594594,0.7297297297297297,1.054054054054054
2023-24,Brighton,37,50,30,20,7,31,7,10,20,1.3513513513513513,0.8108108108108109,0.8378378378378378
2023-24,Burnley,37,40,34,6,3,20,3,11,23,1.0810810810810811,0.918918918918919,0.5405405405405406
2023-24,Chelsea,36,76,27,49,9,36,9,9,18,2.111111111111111,0.75,1.0
2023-24,Crystal Palace,37,56,27,29,10,39,10,9,18,1.5135135135135136,0.7297297297297297,1.054054054054054
2023-24,Everton,37,40,24,16,13,47,13,8,16,1.0810810810810811,0.6486486486486487,1.2702702702702702
2023-24,Fulham,38,54,28,26,10,39,10,9,19,1.4210526315789473,0.7368421052631579,1.0263157894736843
2023-24,Liverpool,36,80,23,57,13,46,13,7,16,2.2222222222222223,0.6388888888888888,1.2777777777777777
2023-24,Luton,35,49,33,16,2,17,2,11,22,1.4,0.9428571428571428,0.4857142857142857
2023-24,Man City,36,94,21,73,15,52,15,7,14,2.611111111111111,0.5833333333333334,1.4444444444444444
2023-24,Man Utd,37,57,27,30,10,39,10,9,18,1.5405405405405406,0.7297297297297297,1.054054054054054
2023-24,Newcastle,37,83,26,57,11,41,11,8,18,2.2432432432432434,0.7027027027027027,1.1081081081081081
2023-24,Nott'm Forest,38,49,32,17,6,28,6,10,22,1.2894736842105263,0.8421052631578947,0.7368421052631579
2023-24,Sheffield Utd,37,31,34,-3,3,20,3,11,23,0.8378378378378378,0.918918918918919,0.5405405405405406
2023-24,Spurs,36,69,29,40,7,30,7,9,20,1.9166666666666667,0.8055555555555556,0.8333333333333334
