player_name,position,promoted_season,promotion_type,age_at_promotion,championship_team,epl_team,champ_goals_per90,champ_assists_per90,champ_xg_per90,champ_xa_per90,champ_shots_per90,champ_key_passes_per90,champ_tackles_per90,champ_interceptions_per90,champ_dribbles_per90,champ_pass_completion_pct,champ_aerials_won_per90,champ_progressive_carries_per90,champ_sca_per90,champ_gca_per90,champ_minutes_total,champ_starts,champ_matches,epl_goals_per90,epl_assists_per90,epl_minutes_total,epl_starts,epl_gameweeks_played,epl_avg_fpl_points,epl_total_fpl_points,archetype,tags,cluster_id
Ezgjan Alioski,DEF,19-20,unknown,27,Leeds,Leeds,0.007957559681697613,0.004774535809018567,0.0,0.0,0.09350132625994695,0.0,0.0,1.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,2262,21,39,0.0732899022801303,0.10993485342019545,2456,24,38,2.8947368421052633,110,clinical_finisher,['clinical_finisher'],0
Luke Ayling,DEF,19-20,unknown,27,Leeds,Leeds,0.0031171284634760703,0.0031171284634760703,0.0,0.0,0.02720403022670025,0.0,0.0,1.6719143576826194,0.0,0.0,0.0,0.0,0.0,0.0,3176,35,37,0.0,0.0,3399,38,38,2.6315789473684212,100,clinical_finisher,['clinical_finisher'],0
Patrick Bamford,FWD,19-20,unknown,25,Leeds,Leeds,0.010972423802612482,0.0013062409288824384,0.0,0.0,0.09613933236574747,0.0,0.0,0.0783744557329463,0.0,0.0,0.0,0.0,0.0,0.0,3445,43,45,0.5013106159895151,0.32437745740498036,3052,32,38,5.105263157894737,194,defensive_anchor,['defensive_anchor'],3
Liam Cooper,DEF,19-20,unknown,27,Leeds,Leeds,0.001728,0.0,0.0,0.0,0.018144,0.0,0.0,2.1888,0.0,0.0,0.0,0.0,0.0,0.0,3125,36,38,0.04117108874656908,0.0,2186,24,38,1.5526315789473684,59,clinical_finisher,['clinical_finisher'],0
Hélder Costa,MID,19-20,unknown,25,Leeds,Leeds,0.003656059580230196,0.004570074475287745,0.0,0.0,0.05941096817874069,0.0,0.0,0.45700744752877454,0.0,0.0,0.0,0.0,0.0,0.0,2954,33,43,0.23478260869565215,0.31304347826086953,1150,11,38,1.6578947368421053,63,target_man,['target_man'],5
Stuart Dallas,DEF,19-20,unknown,28,Leeds,Leeds,0.002519083969465649,0.001603053435114504,0.0,0.0,0.04030534351145038,0.0,0.0,0.984732824427481,0.0,0.0,0.0,0.0,0.0,0.0,3930,45,45,0.21114369501466276,0.07917888563049855,3410,38,38,4.5,171,target_man,['target_man'],5
Jack Harrison,MID,19-20,unknown,22,Leeds,Leeds,0.0033210332103321034,0.004507116499736426,0.0,0.0,0.04388508170795993,0.0,0.0,0.49815498154981547,0.0,0.0,0.0,0.0,0.0,0.0,3794,45,46,0.25298664792691494,0.3162333099086437,2846,30,38,4.2105263157894735,160,target_man,['target_man'],5
Mateusz Klich,MID,19-20,unknown,29,Leeds,Leeds,0.0033175355450236967,0.002843601895734597,0.0,0.0,0.042654028436018954,0.0,0.0,0.4739336492890995,0.0,0.0,0.0,0.0,0.0,0.0,3798,45,45,0.15088013411567475,0.18860016764459345,2386,24,38,2.6052631578947367,99,target_man,['target_man'],5
Kalvin Phillips,MID,19-20,unknown,23,Leeds,Leeds,0.0016615384615384613,0.0016615384615384613,0.0,0.0,0.01606153846153846,0.0,0.0,1.3292307692307692,0.0,0.0,0.0,0.0,0.0,0.0,3250,37,37,0.03706754530477759,0.07413509060955518,2428,26,38,1.763157894736842,67,clinical_finisher,['clinical_finisher'],0
Tyler Roberts,MID,19-20,unknown,20,Leeds,Leeds,0.02724770642201835,0.0066055045871559635,0.0,0.0,0.23862385321100918,0.0,0.0,0.4954128440366973,0.0,0.0,0.0,0.0,0.0,0.0,1090,12,23,0.06766917293233082,0.13533834586466165,1330,10,38,1.2894736842105263,49,ball_carrying_threat,['ball_carrying_threat'],4
